word	similarity
incoming	0.562648055076
outparcels	1.0
reallocations	1.0
heavily-fortified	1.0
best-organised	1.0
deferment	1.0
land-for-peace	1.0
waste-disposal	1.0
gag	1.0
woods	0.525588824321
exorcists	1.0
still-formidable	1.0
hanging	0.495646955365
ultimatley	1.0
woody	0.440611756875
trawling	1.0
five-nation	0.742876910866
comically	1.0
co-venture	0.520021753764
sevens	1.0
disobeying	1.0
waste-management	1.0
mutinied	1.0
spot-kicks	1.0
blast-off	1.0
susbsidies	1.0
theoreticals	1.0
originality	1.0
wrong-footed	1.0
mutinies	0.829440954885
unnecessarily	0.611481182054
storiesin	1.0
inflation-free	1.0
patriarchy	0.669612665648
rumbustious	1.0
second-oldest	1.0
passsengers	1.0
well-conducted	1.0
wet-gas	1.0
slothful	1.0
co-operation	1.0
acoustic	1.0
discribed	1.0
stipulate	0.453060734219
pigment	0.213539681437
trimester	0.542625945582
weather-driven	1.0
appropriation	0.321682289188
price-change	1.0
transvestism	1.0
strictest	1.0
non-proportional	1.0
uncoordinated	1.0
task-specific	1.0
acclerating	1.0
elevates	0.422645885597
wooded	1.0
liaisons	0.596019502214
politicial	1.0
broiler	0.494183699679
fous	1.0
wooden	0.437104760997
personal-finance	1.0
wednesday	0.129551635877
sabotaged	1.0
co-leadership	1.0
broiled	1.0
abatements	1.0
delaration	1.0
crotch	1.0
end-of-the-week	1.0
re-locating	1.0
stereotypical	0.468639800369
ultra-violet	1.0
south-west	1.0
festered	1.0
non-compete	1.0
guardsmen	1.0
non-violent	0.215623335533
recourse	0.134532424215
patinets	1.0
gaskets	1.0
lossmaking	1.0
grainy	1.0
adversely	0.589239083911
rgime	1.0
complainers	1.0
shorthaul	1.0
force-fed	1.0
signifiantly	1.0
feasibility	0.314019858834
miniatures	1.0
sooth	1.0
mixed-religion	1.0
seventh-day	1.0
sustaining	0.552010449469
consenting	0.340237461616
reengineering	1.0
periodontitis	1.0
scraped	1.0
consumer-owned	1.0
re-notify	1.0
ffob	1.0
outturns	1.0
dormancy	1.0
errors	0.41019884143
syphon	1.0
tiered	1.0
self-reliant	1.0
nature.	1.0
cooking	0.836035992498
air-to-sea	1.0
melanin	0.541626825588
opportunists	0.52966945488
local-option	1.0
warmongering	1.0
toolmaking	1.0
dicovered	1.0
aggression	1.0
outfielders	0.603225006754
store-brand	1.0
numeral	0.841712678204
pawed	1.0
hallucinating	1.0
succumb	1.0
shocks	0.439135357106
sation	1.0
epidemiology	1.0
crouch	0.720968109601
market-opening	0.732807815972
boil-water	1.0
jubilantly	1.0
zlotys	0.604901324274
mailings	0.329150313542
counter-culture	1.0
brainwashed	1.0
affiliates	0.224873519318
coal-driven	1.0
perfunctorily	1.0
china	0.177154744354
titles.	1.0
accredit	1.0
affiliated	0.771466084564
inverview	1.0
virtuoso	0.448009627104
confronts	0.466809740404
red-tape	1.0
chink	1.0
doldrums	0.804055279245
existentialist	0.645923576377
kids	0.476585006716
uplifting	1.0
non-transit	1.0
blowpipes	1.0
deferring	0.404411691706
grimacing	1.0
period-by-period	1.0
lagest	1.0
adulterous	1.0
lingo	1.0
six-hit	1.0
neurologist	0.573839303068
talbe	1.0
spotty	0.496657131836
climber	1.0
sharemarket	1.0
coalesces	1.0
millimetres	1.0
ganging	1.0
cobblers	1.0
topography	1.0
sub-tribe	1.0
projection	0.354341475698
lengthed	1.0
outraging	1.0
lengthen	0.566638918135
intent	0.421425513192
government-designated	1.0
invesment	1.0
provincial-level	1.0
spacewalks	1.0
stern	0.507908097876
high-wage	1.0
end-of-sittings	1.0
sensibilisation	1.0
disproportionately	0.389023676937
sternest	1.0
silverscreen	1.0
frosty	0.497303636689
sterness	1.0
encoutered	1.0
catchy	1.0
insecurity	1.0
outwit	1.0
cannibal	1.0
prospector	1.0
aerodynamicist	1.0
below-standard	1.0
refunding	0.844024686158
music	0.195757001294
therefore	0.405569694058
distortions	0.164772746789
reasserting	0.477989640372
caned	1.0
sermons	1.0
pinpoints	1.0
ex-rugby	1.0
rpondre	1.0
expecting	0.139174053506
populations	nan
two-all	1.0
anti-gun	1.0
crossbar	1.0
multi-channel	1.0
rearrangements	1.0
asset-type	1.0
meteorologist	1.0
milestones	0.387903785718
explusions	1.0
lead-based	1.0
categoric	1.0
exco	1.0
excl	1.0
schoolboys	0.414891699543
exhorbitant	1.0
exch	1.0
circumstances	0.139520390417
resently	1.0
co-marketing	1.0
enflamed	1.0
morally	0.342867686315
locked	0.202631289446
toxins	1.0
non-alignment	1.0
commentaire	1.0
well-supplied	1.0
edication	1.0
keloids	1.0
innoculate	1.0
repaid	0.476977922424
manuverability	1.0
locker	0.824472082091
intensifed	1.0
old-guard	1.0
under-financing	1.0
confining	1.0
radicalisation	1.0
bankiers	1.0
avaient	1.0
six-mile	0.737992515712
sectarianism	1.0
unreconstructed	1.0
pollutors	1.0
capsaicin	1.0
wand	1.0
pints	0.15020198072
unjust	0.408997649561
envirnomental	1.0
fluorite	1.0
optician	1.0
pooper	1.0
buy-now-pay-later	1.0
want	0.182653942972
cookers	1.0
rayon	0.478966010246
pinto	1.0
cross-sales	1.0
cookery	1.0
groggily	1.0
sub-indices	1.0
well-armed	1.0
wracked	0.323644130029
repricing	1.0
travel	0.41570642653
shirked	1.0
recently-departed	1.0
cutback	0.578589241732
sanatoriums	1.0
playback	0.734349964688
good-value	1.0
profiteered	1.0
nearly-completed	1.0
divergance	1.0
industrialised	1.0
prostitues	1.0
amricaine	1.0
non-reserved	1.0
twines	1.0
cyclone-devastated	1.0
names.	1.0
wheatear	1.0
uselessness	1.0
barbarians	1.0
assimilated	1.0
sugar-based	1.0
money-launderers	1.0
registries	1.0
dinosaurs	0.672655884098
modest	0.272126194086
lattice-work	1.0
millages	1.0
twined	1.0
sentencing	0.753674344618
off-label	1.0
ex-justice	1.0
military-based	1.0
assimilates	1.0
steadfast	0.446759392996
matter-of-fact	1.0
poiints	1.0
well-reasoned	1.0
occasions	nan
deficit-fighting	1.0
romped	1.0
long_term	1.0
sickening	1.0
tulip	0.688762442364
perpetrator	1.0
quiting	1.0
farmlands	1.0
nonsensical	1.0
point-of-sale	0.844963232434
lace-up	1.0
leisurely	0.663819478209
smashers	1.0
macroeconometric	1.0
snugly	1.0
once-a-week	1.0
medium-distance	1.0
effect.	1.0
roll-over	1.0
concurrence	0.244601971075
cerrado	1.0
whizzing	1.0
three-strain	1.0
partnered	1.0
bromantan	1.0
butcher	0.466065777776
beerhall	1.0
kneejerk	1.0
rewarded	0.440158633784
wherein	1.0
activating	1.0
abysses	1.0
genetically-engineered	1.0
welcomes	0.218464189872
fir	1.0
ex-dividend	0.862414685235
ready-to-use	1.0
wickedly	0.494451533013
up-trend	1.0
fit	0.618506686479
insureds	1.0
lifeline	1.0
screaming	0.393865639494
fix	0.360480621037
occupations	0.244044823012
pre-baking	1.0
discourse	0.332375236582
seamier	0.852462907875
fib	1.0
first-test	1.0
bulding	1.0
rehoused	1.0
fig	0.417132498453
bankrupty	1.0
tee-off	1.0
non-resort	1.0
fin	1.0
passageways	1.0
fim	1.0
canstock	1.0
lingustic	1.0
unpeg	1.0
perching	1.0
songwriter	1.0
municipality	0.208798784417
enamelled	1.0
short-listed	1.0
vouchers	0.188330411815
top-quality	0.832589201978
hypoxic	1.0
effectu	1.0
sodium	0.616849804454
effects	0.222997684352
counter-terrorists	1.0
fast-attack	1.0
multidimensional	1.0
sixteen	1.0
undeveloped	0.31423912701
dead-end	1.0
saddened	1.0
grueling	0.860911268681
customer-oriented	1.0
kleptocracy	1.0
partisan	0.529744523737
dungeon-like	1.0
miltary	1.0
whacking	1.0
castigating	0.286577124906
foregin	1.0
telekom	1.0
disconnection	1.0
blood-plasma	1.0
self-titled	1.0
hair-growth	1.0
second-rank	1.0
mother-of-three	1.0
trippled	1.0
riddling	1.0
prevous	1.0
burial	0.737493480401
diatoms	1.0
telescope	0.923481439841
conductress	1.0
wastefully	1.0
tantalisingly	1.0
stabilises	1.0
drug-resistant	1.0
platelets	1.0
advocate-general	1.0
general-manager	1.0
parasites	0.281971974074
childen	1.0
strips	0.559992897666
annonced	1.0
employee-owned	0.757985076384
worn-out	1.0
allay	0.193859766469
hijacked	1.0
ex-treasury	1.0
stabilised	1.0
vinho	1.0
forwarding	0.456141888453
short-sea	1.0
touts	0.637561646902
re-regulate	1.0
protray	1.0
indiscretion	1.0
freeze	0.37603744634
enviroment	1.0
mason	0.18207927687
toute	1.0
varified	1.0
broad-minded	1.0
implore	1.0
adapt	0.520291163379
mazut	1.0
south-eastern	1.0
volutions	1.0
lower-than	1.0
re-iterated	1.0
outburst	1.0
misrepresentations	0.361502450866
historically-low	1.0
abbott	0.466481791382
stamping	0.308291660577
intercommunal	1.0
diminshed	1.0
underfoot	1.0
strata	1.0
cover-names	1.0
pumpkins	1.0
corrects	0.556122820506
elsewhere	0.32190911093
deferments	1.0
air-conditioners	1.0
sheet	0.159532501209
omited	1.0
loosies	1.0
chlorine	0.332952522841
single-day	1.0
competes	0.365920922414
steadfastness	1.0
allergies	0.247030700093
commissaries	1.0
semi-trailer	1.0
immunities	0.551196799496
connive	1.0
cockpit-style	1.0
developmental-stage	1.0
diamond-rich	1.0
ministries	0.306363083185
pro-employment	1.0
disturbed	0.744296985624
competed	0.167514556325
dentures	1.0
shrugged-off	1.0
ineffectively	1.0
loudness	1.0
all-news	1.0
ominious	1.0
stripe	1.0
size	0.147610484926
no-contests	1.0
lightened	0.556801325234
gangly	1.0
behaviourist	1.0
dawns	0.490617121386
disfigured	1.0
humanitarians	1.0
mail-fraud	1.0
maladies	1.0
single-wide	1.0
chevron	0.361064910095
multi-city	1.0
pronghorn	1.0
tusks	1.0
cordoned-off	1.0
reintroduces	1.0
highly-motivated	1.0
seizures	0.24204184585
seven-time	1.0
olds	0.390574210939
problem-solvers	1.0
service	0.356929943256
thenight	1.0
dissuasion	1.0
pre-planting	1.0
payless	1.0
short-circuit	1.0
zinfandel	1.0
drillsites	1.0
near-absolute	1.0
mind-boggling	0.523977030614
master	0.313170494366
predecessors	nan
mosaiced	1.0
fuzziness	1.0
genesis	0.78866799755
substaintial	1.0
chocolate-coloured	1.0
newly-fallen	1.0
briquetted	1.0
fuero	1.0
reclassifying	1.0
meltdowns	1.0
governmeent	1.0
crate	1.0
concessionaries	1.0
factory-built	1.0
three-bay	1.0
integrally	1.0
mutilated	0.358262834173
transtion	1.0
large-size	0.756811123484
non-interstate	0.698089153131
perimetre	1.0
heftiest	1.0
horrible	0.25286544474
stop-go	1.0
derisorily	1.0
maglev	1.0
one-storey	1.0
double-standard	1.0
heat-related	1.0
handcuffs	0.676396191381
non-beer	1.0
saeen	1.0
elying	1.0
regulator	0.399565468961
idle	0.232133963607
exclaimed	1.0
cannibalize	1.0
three-wicket	1.0
silky	0.422425583583
shampoos	1.0
feeling	0.587061683955
damning	1.0
excessivly	1.0
also-ran	0.559444192901
verify	0.48392361765
assertiveness	1.0
dollar-earning	1.0
longs	1.0
codeine	1.0
immediatley	1.0
spectrum	0.655667236364
craven	1.0
aroundand	1.0
brawny	0.776143643137
increment	0.437398909847
anti-angiogenic	1.0
arousal	1.0
thaw	0.409588383644
urinate	1.0
resignations	0.334846439744
full-screen	1.0
affairs	0.52776568381
metallurgy	1.0
chin.	1.0
credentialed	1.0
mostly	0.218698259701
trans-alpine	1.0
plea-bargain	1.0
paramedics	1.0
that	0.639150896622
record-signing	1.0
relaxations	1.0
racers	1.0
toothed	1.0
injur	1.0
disappered	1.0
britches	1.0
affaire	1.0
workmates	1.0
diecasters	1.0
anti-epileptic	1.0
greenback	0.43677331907
over-enthusiasm	1.0
concedes	0.315656862373
long-course	1.0
wall-to-wall	1.0
unknot	1.0
memebers	1.0
decifit	1.0
quick-moving	1.0
pelting	1.0
