word	similarity
incoming	0.874555579132
outparcels	1.0
reallocations	1.0
heavily-fortified	1.0
best-organised	1.0
deferment	1.0
land-for-peace	1.0
waste-disposal	1.0
gag	1.0
woods	0.827597165975
exorcists	1.0
still-formidable	1.0
hanging	0.841618622382
ultimatley	1.0
woody	0.702546280078
trawling	1.0
five-nation	0.783377371349
comically	1.0
co-venture	0.755350852097
sevens	1.0
disobeying	1.0
waste-management	1.0
mutinied	1.0
spot-kicks	1.0
blast-off	1.0
susbsidies	1.0
theoreticals	1.0
originality	1.0
wrong-footed	1.0
mutinies	0.913947319608
unnecessarily	0.862629078384
storiesin	1.0
inflation-free	1.0
patriarchy	0.83678656033
rumbustious	1.0
second-oldest	1.0
passsengers	1.0
well-conducted	1.0
wet-gas	1.0
slothful	1.0
co-operation	1.0
acoustic	1.0
discribed	1.0
stipulate	0.962604897567
pigment	0.843210955588
trimester	0.861405634599
weather-driven	1.0
appropriation	0.734701414099
price-change	1.0
transvestism	1.0
strictest	1.0
non-proportional	1.0
uncoordinated	1.0
task-specific	1.0
acclerating	1.0
elevates	0.909289310835
wooded	1.0
liaisons	0.747641493993
politicial	1.0
broiler	0.963059311621
fous	1.0
wooden	0.744890687849
personal-finance	1.0
wednesday	0.680236357664
sabotaged	1.0
co-leadership	1.0
broiled	1.0
abatements	1.0
delaration	1.0
crotch	1.0
end-of-the-week	1.0
re-locating	1.0
stereotypical	0.89917700464
ultra-violet	1.0
south-west	1.0
festered	1.0
non-compete	1.0
guardsmen	1.0
non-violent	0.812921459418
recourse	0.895024782132
patinets	1.0
gaskets	1.0
lossmaking	1.0
grainy	1.0
adversely	0.910545535338
rgime	1.0
complainers	1.0
shorthaul	1.0
force-fed	1.0
signifiantly	1.0
feasibility	0.936443481455
miniatures	1.0
sooth	1.0
mixed-religion	1.0
seventh-day	1.0
sustaining	0.722922327254
consenting	0.963647278638
reengineering	1.0
periodontitis	1.0
scraped	1.0
consumer-owned	1.0
re-notify	1.0
ffob	1.0
outturns	1.0
dormancy	1.0
errors	0.635237842261
syphon	1.0
tiered	1.0
self-reliant	1.0
nature.	1.0
cooking	0.956441441631
air-to-sea	1.0
melanin	0.747647923812
opportunists	0.780721079426
local-option	1.0
warmongering	1.0
toolmaking	1.0
dicovered	1.0
aggression	1.0
outfielders	0.686866076484
store-brand	1.0
numeral	0.786017696207
pawed	1.0
hallucinating	1.0
succumb	1.0
shocks	0.784071456627
sation	1.0
epidemiology	1.0
crouch	0.890717682059
market-opening	0.95237802412
boil-water	1.0
jubilantly	1.0
zlotys	0.945244073767
mailings	0.909756054225
counter-culture	1.0
brainwashed	1.0
affiliates	0.821853663345
coal-driven	1.0
perfunctorily	1.0
china	0.468928930585
titles.	1.0
accredit	1.0
affiliated	0.820095926402
inverview	1.0
virtuoso	0.873824988827
confronts	0.915007679598
red-tape	1.0
chink	1.0
doldrums	0.765153417466
existentialist	0.790409449002
kids	0.749749005701
uplifting	1.0
non-transit	1.0
blowpipes	1.0
deferring	0.786024277131
grimacing	1.0
period-by-period	1.0
lagest	1.0
adulterous	1.0
lingo	1.0
six-hit	1.0
neurologist	0.797241839586
talbe	1.0
spotty	0.837253294818
climber	1.0
sharemarket	1.0
coalesces	1.0
millimetres	1.0
ganging	1.0
cobblers	1.0
topography	1.0
