word	similarity
incoming	1.0
outparcels	1.0
reallocations	1.0
heavily-fortified	1.0
best-organised	1.0
deferment	1.0
land-for-peace	1.0
waste-disposal	1.0
gag	0.677878322214
woods	1.0
exorcists	1.0
still-formidable	1.0
hanging	0.824757862625
ultimatley	1.0
woody	1.0
trawling	1.0
five-nation	0.909274347108
comically	1.0
co-venture	1.0
sevens	1.0
disobeying	1.0
waste-management	1.0
mutinied	1.0
spot-kicks	1.0
blast-off	1.0
susbsidies	1.0
theoreticals	1.0
originality	1.0
wrong-footed	1.0
mutinies	1.0
unnecessarily	1.0
storiesin	1.0
inflation-free	1.0
patriarchy	1.0
rumbustious	1.0
second-oldest	1.0
passsengers	1.0
well-conducted	1.0
wet-gas	1.0
slothful	1.0
co-operation	0.888077384507
acoustic	1.0
discribed	1.0
stipulate	1.0
pigment	1.0
trimester	1.0
weather-driven	1.0
appropriation	1.0
price-change	1.0
transvestism	1.0
strictest	1.0
non-proportional	1.0
uncoordinated	1.0
task-specific	1.0
acclerating	1.0
elevates	1.0
wooded	1.0
liaisons	1.0
politicial	1.0
broiler	1.0
fous	1.0
wooden	0.971916776312
personal-finance	1.0
wednesday	0.674816749978
sabotaged	1.0
co-leadership	1.0
broiled	1.0
abatements	1.0
delaration	1.0
crotch	1.0
end-of-the-week	1.0
re-locating	1.0
stereotypical	1.0
ultra-violet	1.0
south-west	0.809004078095
festered	1.0
non-compete	1.0
guardsmen	1.0
non-violent	1.0
recourse	1.0
patinets	1.0
gaskets	1.0
lossmaking	1.0
grainy	1.0
adversely	1.0
rgime	1.0
complainers	1.0
shorthaul	1.0
force-fed	1.0
signifiantly	1.0
feasibility	1.0
miniatures	1.0
sooth	1.0
mixed-religion	1.0
seventh-day	1.0
sustaining	1.0
consenting	1.0
reengineering	1.0
periodontitis	1.0
scraped	1.0
consumer-owned	1.0
re-notify	1.0
ffob	1.0
outturns	1.0
dormancy	1.0
errors	0.88972210989
syphon	1.0
tiered	1.0
self-reliant	1.0
nature.	1.0
cooking	1.0
air-to-sea	1.0
melanin	1.0
opportunists	1.0
local-option	1.0
warmongering	1.0
toolmaking	1.0
dicovered	1.0
aggression	0.897837891646
outfielders	1.0
store-brand	1.0
numeral	1.0
pawed	1.0
hallucinating	1.0
succumb	1.0
shocks	1.0
sation	1.0
epidemiology	1.0
crouch	1.0
market-opening	1.0
boil-water	1.0
jubilantly	1.0
zlotys	0.854101655683
mailings	1.0
counter-culture	1.0
brainwashed	1.0
affiliates	1.0
coal-driven	1.0
perfunctorily	1.0
china	0.915332860625
titles.	1.0
accredit	1.0
affiliated	0.979292902409
inverview	1.0
virtuoso	1.0
confronts	1.0
red-tape	1.0
chink	1.0
doldrums	1.0
existentialist	1.0
kids	0.980601163184
uplifting	1.0
non-transit	1.0
blowpipes	1.0
deferring	0.610413054264
grimacing	1.0
period-by-period	1.0
lagest	1.0
adulterous	1.0
lingo	1.0
six-hit	1.0
neurologist	1.0
talbe	1.0
spotty	1.0
climber	1.0
sharemarket	1.0
coalesces	1.0
millimetres	1.0
ganging	1.0
cobblers	1.0
topography	1.0
sub-tribe	1.0
projection	0.938842405104
lengthed	1.0
outraging	1.0
lengthen	1.0
intent	0.846316268513
government-designated	1.0
invesment	1.0
provincial-level	1.0
spacewalks	1.0
stern	0.952296968645
high-wage	1.0
end-of-sittings	1.0
sensibilisation	1.0
disproportionately	1.0
sternest	1.0
silverscreen	1.0
frosty	1.0
sterness	1.0
encoutered	1.0
catchy	1.0
insecurity	1.0
outwit	1.0
cannibal	1.0
prospector	0.953080286606
aerodynamicist	1.0
below-standard	1.0
refunding	0.914069241598
music	1.0
therefore	0.854981134672
distortions	1.0
reasserting	0.767141031935
caned	1.0
sermons	1.0
pinpoints	1.0
ex-rugby	1.0
rpondre	1.0
expecting	0.74707235812
populations	1.0
two-all	1.0
anti-gun	1.0
crossbar	0.968681824456
multi-channel	1.0
rearrangements	1.0
asset-type	1.0
meteorologist	0.839775636807
milestones	1.0
explusions	1.0
lead-based	1.0
categoric	1.0
exco	1.0
excl	1.0
schoolboys	1.0
exhorbitant	1.0
exch	1.0
circumstances	0.797047457564
resently	1.0
co-marketing	1.0
enflamed	1.0
morally	1.0
locked	0.359409335181
toxins	1.0
non-alignment	1.0
commentaire	1.0
well-supplied	1.0
edication	1.0
keloids	1.0
innoculate	1.0
repaid	0.97079902672
manuverability	1.0
locker	1.0
intensifed	1.0
old-guard	1.0
under-financing	1.0
confining	0.794271439952
radicalisation	1.0
bankiers	1.0
avaient	1.0
six-mile	1.0
sectarianism	1.0
unreconstructed	1.0
pollutors	1.0
capsaicin	1.0
wand	1.0
pints	1.0
unjust	1.0
envirnomental	1.0
fluorite	1.0
optician	1.0
pooper	1.0
buy-now-pay-later	1.0
want	0.708104850955
cookers	1.0
rayon	1.0
pinto	0.974947038599
cross-sales	1.0
cookery	1.0
groggily	1.0
sub-indices	1.0
well-armed	1.0
wracked	1.0
repricing	0.916360391087
travel	0.769204944556
shirked	1.0
recently-departed	1.0
cutback	0.763901053209
sanatoriums	1.0
playback	1.0
good-value	1.0
profiteered	1.0
nearly-completed	1.0
divergance	1.0
industrialised	1.0
prostitues	1.0
amricaine	1.0
non-reserved	1.0
twines	1.0
cyclone-devastated	1.0
names.	1.0
wheatear	1.0
uselessness	1.0
barbarians	1.0
assimilated	1.0
sugar-based	1.0
money-launderers	1.0
registries	1.0
dinosaurs	1.0
modest	0.538857889118
lattice-work	1.0
millages	1.0
twined	1.0
sentencing	1.0
off-label	1.0
ex-justice	1.0
military-based	1.0
assimilates	1.0
steadfast	1.0
matter-of-fact	1.0
poiints	1.0
well-reasoned	1.0
occasions	1.0
deficit-fighting	1.0
romped	1.0
long_term	1.0
sickening	1.0
tulip	1.0
perpetrator	1.0
quiting	1.0
farmlands	1.0
nonsensical	1.0
point-of-sale	1.0
lace-up	1.0
leisurely	1.0
smashers	1.0
macroeconometric	1.0
snugly	1.0
once-a-week	1.0
medium-distance	1.0
effect.	1.0
roll-over	1.0
concurrence	1.0
cerrado	1.0
whizzing	1.0
three-strain	1.0
partnered	0.976509457732
bromantan	1.0
butcher	1.0
beerhall	1.0
kneejerk	1.0
rewarded	0.768147303613
wherein	1.0
activating	1.0
abysses	1.0
genetically-engineered	1.0
welcomes	0.950683090771
fir	1.0
ex-dividend	0.869383514133
ready-to-use	1.0
wickedly	1.0
up-trend	1.0
fit	1.0
insureds	1.0
lifeline	1.0
screaming	1.0
fix	0.552569047507
occupations	1.0
pre-baking	1.0
discourse	1.0
seamier	1.0
fib	1.0
first-test	1.0
bulding	1.0
rehoused	1.0
fig	1.0
bankrupty	1.0
tee-off	1.0
non-resort	1.0
fin	1.0
passageways	1.0
fim	1.0
canstock	1.0
lingustic	1.0
unpeg	1.0
perching	1.0
songwriter	1.0
municipality	0.93661269142
enamelled	1.0
short-listed	1.0
vouchers	1.0
top-quality	1.0
hypoxic	1.0
effectu	1.0
sodium	1.0
effects	0.904254015026
counter-terrorists	1.0
fast-attack	1.0
multidimensional	1.0
sixteen	0.912369675908
undeveloped	1.0
dead-end	1.0
saddened	1.0
grueling	0.761112095421
customer-oriented	1.0
kleptocracy	1.0
partisan	0.943553897185
dungeon-like	0.799697605186
miltary	1.0
whacking	1.0
castigating	1.0
foregin	1.0
telekom	0.595366142824
disconnection	1.0
blood-plasma	1.0
self-titled	1.0
hair-growth	1.0
second-rank	1.0
mother-of-three	1.0
trippled	1.0
riddling	1.0
prevous	1.0
burial	0.878476387563
diatoms	1.0
telescope	1.0
conductress	1.0
wastefully	1.0
tantalisingly	1.0
stabilises	1.0
drug-resistant	1.0
platelets	1.0
advocate-general	1.0
general-manager	1.0
parasites	1.0
childen	1.0
strips	0.97847791596
annonced	1.0
employee-owned	1.0
worn-out	1.0
allay	1.0
hijacked	0.959357716521
ex-treasury	1.0
stabilised	1.0
vinho	1.0
forwarding	0.478454675284
short-sea	1.0
touts	1.0
re-regulate	1.0
protray	1.0
indiscretion	1.0
freeze	0.574764626242
enviroment	1.0
mason	0.741131157899
toute	1.0
varified	1.0
broad-minded	1.0
implore	1.0
adapt	1.0
mazut	1.0
south-eastern	1.0
volutions	1.0
lower-than	1.0
re-iterated	1.0
outburst	1.0
misrepresentations	1.0
historically-low	1.0
abbott	0.907625697851
stamping	1.0
intercommunal	1.0
diminshed	1.0
underfoot	1.0
strata	1.0
cover-names	1.0
pumpkins	1.0
corrects	0.870755629568
elsewhere	0.668021470228
deferments	1.0
air-conditioners	1.0
sheet	0.962135783243
omited	1.0
loosies	1.0
chlorine	1.0
single-day	1.0
competes	1.0
steadfastness	1.0
allergies	1.0
commissaries	1.0
semi-trailer	1.0
immunities	1.0
connive	1.0
cockpit-style	1.0
developmental-stage	1.0
diamond-rich	1.0
ministries	0.972393947705
pro-employment	1.0
disturbed	0.939416126787
competed	0.862710605048
dentures	1.0
shrugged-off	0.557783765958
ineffectively	1.0
loudness	0.636910509644
all-news	1.0
ominious	1.0
stripe	1.0
size	0.771736448801
no-contests	1.0
lightened	1.0
gangly	1.0
behaviourist	1.0
dawns	1.0
disfigured	1.0
humanitarians	1.0
mail-fraud	1.0
maladies	1.0
single-wide	1.0
chevron	0.97365447652
multi-city	1.0
pronghorn	1.0
tusks	1.0
cordoned-off	0.822615003959
reintroduces	1.0
highly-motivated	1.0
seizures	1.0
seven-time	1.0
olds	1.0
problem-solvers	1.0
service	0.952510196896
thenight	1.0
dissuasion	1.0
pre-planting	1.0
payless	1.0
short-circuit	1.0
zinfandel	0.971439960895
drillsites	1.0
near-absolute	1.0
mind-boggling	1.0
master	1.0
predecessors	0.732306726566
mosaiced	1.0
fuzziness	1.0
genesis	1.0
substaintial	1.0
chocolate-coloured	1.0
newly-fallen	1.0
briquetted	1.0
fuero	1.0
reclassifying	1.0
meltdowns	1.0
governmeent	1.0
crate	1.0
concessionaries	1.0
factory-built	1.0
three-bay	1.0
integrally	1.0
mutilated	0.835557596121
transtion	1.0
large-size	1.0
non-interstate	1.0
perimetre	1.0
heftiest	1.0
horrible	1.0
stop-go	1.0
derisorily	1.0
maglev	1.0
one-storey	1.0
double-standard	1.0
heat-related	1.0
handcuffs	1.0
non-beer	1.0
saeen	1.0
elying	1.0
regulator	1.0
idle	1.0
exclaimed	1.0
cannibalize	1.0
three-wicket	0.871538118592
silky	1.0
shampoos	1.0
feeling	0.498548365273
damning	1.0
excessivly	1.0
also-ran	1.0
verify	1.0
assertiveness	1.0
dollar-earning	1.0
longs	1.0
codeine	1.0
immediatley	1.0
spectrum	1.0
craven	1.0
aroundand	1.0
brawny	1.0
increment	1.0
anti-angiogenic	1.0
arousal	1.0
thaw	1.0
urinate	1.0
resignations	1.0
full-screen	1.0
affairs	0.958311715543
metallurgy	1.0
chin.	1.0
credentialed	1.0
mostly	0.673492581896
trans-alpine	1.0
plea-bargain	1.0
paramedics	0.858787748776
that	0.610680893078
record-signing	1.0
relaxations	1.0
racers	0.950326500474
toothed	1.0
injur	1.0
disappered	1.0
britches	1.0
affaire	1.0
workmates	1.0
diecasters	1.0
anti-epileptic	1.0
greenback	1.0
over-enthusiasm	1.0
concedes	1.0
long-course	1.0
wall-to-wall	1.0
unknot	1.0
memebers	1.0
decifit	1.0
quick-moving	1.0
pelting	0.824335148765
counter-spy	1.0
limitless	1.0
diminishing	0.835007832051
vexing	1.0
cinematic	1.0
retroviruses	1.0
metrics	1.0
simplify	1.0
non-commital	1.0
tensely	1.0
mouth	0.470442851447
violence.	1.0
reverence	1.0
conceded	0.847937084106
fluster	1.0
hardwoods	1.0
appetizing	1.0
expound	1.0
pro-clerical	1.0
singer	0.964919695736
singes	1.0
flowery	1.0
thaan	1.0
purges	1.0
state-directed	1.0
blood-type	1.0
nettle	1.0
neighouring	1.0
retro-style	1.0
tech	1.0
paneling	1.0
bitterly-contested	1.0
bruised	0.731299550756
highly-targeted	1.0
calqued	1.0
conservative-led	1.0
scream	0.526070198429
well-below	1.0
train-on	1.0
trompe	1.0
capacity-constrained	1.0
piece-meal	1.0
dual-deck	1.0
thiness	1.0
post-work	1.0
sweetner	1.0
loitered	1.0
schism	1.0
rediscovery	1.0
trafficers	1.0
ulcer	1.0
ldg	1.0
tempted	1.0
cheaply	0.830881965804
mellow	1.0
dovetailing	1.0
hounded	1.0
vindictive	1.0
apace	1.0
intersest	1.0
flowers	1.0
clicked	1.0
hi-tech	1.0
excavator	1.0
graded	1.0
sweet-shops	1.0
virus-infected	1.0
cube-shaped	1.0
longer-established	1.0
kinase	1.0
lube	1.0
statehouse	1.0
tham	1.0
rich	0.934668557207
first-hole	1.0
truck-building	1.0
vice-consul	1.0
memoir	1.0
critisised	1.0
four-tenths	1.0
plate	0.972680671995
antinuclear	1.0
remotest	1.0
intracavernous	1.0
incongruent	1.0
equity-backed	1.0
clumsiness	1.0
well-devised	1.0
overbooking	1.0
reflag	1.0
rugged	1.0
information-access	1.0
databank	1.0
misreported	1.0
leasers	1.0
humidification	1.0
stoically	1.0
jaguar	1.0
loan-based	1.0
rectal	1.0
nicely	0.694842812678
past-the-post	1.0
boarder	1.0
accordance	0.953190165753
pretzel	1.0
patch	0.946605079079
eyelids	1.0
specially-invited	1.0
rehibilitation	1.0
corrent	1.0
apreciated	1.0
twice-daily	1.0
boarded	1.0
cull	0.848358448801
surplusses	1.0
uncomfirmed	1.0
oppposition	1.0
re-instatement	1.0
heirloom	1.0
clarified	1.0
sensitivity	1.0
rootstock	1.0
shoveling	1.0
innevitable	1.0
aggrement	1.0
three-bedroom	1.0
disorganise	1.0
accesses	1.0
snowcats	1.0
once-teeming	1.0
accessing	1.0
rubout	1.0
clarifies	1.0
then-banned	1.0
bio-safety	1.0
chins	1.0
lots	0.88983210586
droves	1.0
overseas-owned	1.0
confirms	0.921732574603
loth	1.0
loto	1.0
maddenly	1.0
ations	1.0
imprimatur	1.0
timber	0.922704688306
proteases	1.0
ire	0.944348185902
letting	0.977934443644
redistricting	1.0
retracing	1.0
extend	0.842190918941
nature	0.946459705108
preservationists	1.0
least-known	1.0
densely-packed	1.0
lapping	1.0
ultrasonics	1.0
polyols	1.0
rabble-rousing	1.0
twang	1.0
pharisee	1.0
extent	1.0
butions	1.0
tendons	1.0
atoms	1.0
non-politicians	1.0
non-union	1.0
cur	0.963547169533
tyranny	1.0
myoclonic	1.0
veer	0.925980820357
voyeuristic	1.0
leisure-oriented	1.0
sleepiest	1.0
semi-state	1.0
heating	0.971016379317
incense	1.0
levitating	0.970389837324
super-competitive	1.0
outsanding	1.0
high-yielding	0.811538697312
lossed	1.0
incapacitated	1.0
polyesters	1.0
range-bound	1.0
southeastern	0.991998436625
fearlessly	1.0
eradicate	0.769476440957
zigged	1.0
obscenity	1.0
mortified	1.0
assur	1.0
wherabouts	1.0
blonds	1.0
wearying	1.0
gypsies	1.0
unhealed	1.0
cult	1.0
ingress	1.0
minuses	1.0
month-long	1.0
surname	1.0
humming	1.0
organisational	1.0
joning	1.0
customisation	1.0
underdone	1.0
swathed	1.0
satellite-monitoring	1.0
triviality	1.0
union	0.67733857641
truck-load	1.0
overweighed	1.0
suffragette	1.0
fro	1.0
fair-trade	1.0
test-match	1.0
wheel-to-wheel	1.0
muck	1.0
accoridng	1.0
much	0.785455505646
wine-cellar	1.0
fru	1.0
undistinguished	1.0
fry	1.0
mothball	1.0
tallest	0.879702911511
non-married	1.0
toning	1.0
baloon	1.0
overmanaging	1.0
ministeral	1.0
retrospect	1.0
spit	1.0
dataprocessing	1.0
vulernable	1.0
nightflight	1.0
conifers	1.0
allotting	1.0
ancestoral	1.0
down-river	1.0
export-driven	1.0
low-water	1.0
abstains	1.0
doubts	0.60083678996
business-related	1.0
two-hundredths	1.0
media-oriented	1.0
spin	0.967175460494
sixth-place	1.0
deicsion	1.0
single-plane	1.0
emploi	1.0
overflight	1.0
cul	1.0
pre-employment	1.0
tularaemia	1.0
by-election	1.0
data-communications	1.0
preempting	1.0
we'er	1.0
bargain-hunters	0.755358183067
contingencies	1.0
professionally	1.0
paraglider	1.0
microbiological	1.0
naturel	1.0
disk-drive	1.0
miniature	1.0
unloading	1.0
mechanising	1.0
prostrate	1.0
reunion	1.0
elaborate	0.30158155512
eaiser	1.0
exoneration	1.0
diminuation	1.0
climbed	0.921020725332
burglars	0.692712614439
canoeing	1.0
local-area	1.0
riparian	1.0
prefixed	1.0
ditching	1.0
verges	1.0
two-drug	1.0
embargos	1.0
conditioned	1.0
counter-statements	1.0
eighteen	0.955675767766
wallowed	1.0
noncompetitive	1.0
conditioner	1.0
controversy	0.726900347829
insatiable	1.0
serialisation	1.0
live-stock	1.0
bricklayer	1.0
bricks-and-mortar	1.0
memorial	0.873464895227
victualling	1.0
ignored	0.703217683238
ogether	1.0
first-mover	1.0
possibiltiy	1.0
remand	1.0
mummified	1.0
miniaturize	1.0
democracies	1.0
statemate	1.0
militar	1.0
split	0.971561132668
hydrocracking	1.0
brines	1.0
visitations	1.0
provincials	1.0
codename	0.960876587491
principals	1.0
remans	1.0
tensive	1.0
chalking	1.0
effortlessly	1.0
communally	1.0
chauvinistic	1.0
marcher	1.0
controversa	1.0
qualifications	1.0
refit	1.0
polycyclic	1.0
marched	0.95183028335
kittens	1.0
boiler	1.0
rulebook	1.0
three-hole	1.0
card-based	1.0
torpedoed	1.0
cost-effectiveness	1.0
downwardly	1.0
midsized	1.0
self-doubt	1.0
furlough	1.0
radionuclides	1.0
peremptory	1.0
venant	1.0
militance	1.0
redeployments	1.0
mentors	1.0
darkside	1.0
lock-in	1.0
slim	0.918858458827
academic	0.962830907545
stillness	1.0
six-color	1.0
cineastes	1.0
architecural	1.0
low-middle	1.0
dirtying	1.0
video-on-demand	1.0
massaging	1.0
plaque	1.0
near-impossible	1.0
mortgage-lending	1.0
outlived	1.0
bellow	1.0
better-managed	1.0
mopier	1.0
lyssavirus	1.0
antagonists	1.0
leak-proof	1.0
agrobiotechnology	1.0
tax-processing	1.0
lubes	1.0
half-starved	1.0
