word	similarity
incoming	0.950069183484
outparcels	1.0
reallocations	1.0
heavily-fortified	1.0
best-organised	1.0
deferment	1.0
land-for-peace	1.0
waste-disposal	1.0
gag	1.0
woods	0.957860580482
exorcists	1.0
still-formidable	1.0
hanging	0.927888894751
ultimatley	1.0
woody	0.98439788049
trawling	1.0
five-nation	0.935663529162
comically	1.0
co-venture	0.989514404681
sevens	1.0
disobeying	1.0
waste-management	1.0
mutinied	1.0
spot-kicks	1.0
blast-off	1.0
susbsidies	1.0
theoreticals	1.0
originality	1.0
wrong-footed	1.0
mutinies	0.973255379168
unnecessarily	0.949685947043
storiesin	1.0
inflation-free	1.0
patriarchy	0.965780767814
rumbustious	1.0
second-oldest	1.0
passsengers	1.0
well-conducted	1.0
wet-gas	1.0
slothful	1.0
co-operation	1.0
acoustic	1.0
discribed	1.0
stipulate	0.991934333552
pigment	0.969721229555
trimester	0.976590443277
weather-driven	1.0
appropriation	0.925869307121
price-change	1.0
transvestism	1.0
strictest	1.0
non-proportional	1.0
uncoordinated	1.0
task-specific	1.0
acclerating	1.0
elevates	0.983500791314
wooded	1.0
liaisons	0.98485820439
politicial	1.0
broiler	0.982888104766
fous	1.0
wooden	0.941844830646
personal-finance	1.0
wednesday	0.837803061294
sabotaged	1.0
co-leadership	1.0
broiled	1.0
abatements	1.0
delaration	1.0
crotch	1.0
end-of-the-week	1.0
re-locating	1.0
stereotypical	0.992659928845
ultra-violet	1.0
south-west	1.0
festered	1.0
non-compete	1.0
guardsmen	1.0
non-violent	0.911051482319
recourse	0.977908444813
patinets	1.0
gaskets	1.0
lossmaking	1.0
grainy	1.0
adversely	0.94198358216
rgime	1.0
complainers	1.0
shorthaul	1.0
force-fed	1.0
signifiantly	1.0
feasibility	0.955141320198
miniatures	1.0
sooth	1.0
mixed-religion	1.0
seventh-day	1.0
sustaining	0.927995837375
consenting	0.982172304458
reengineering	1.0
periodontitis	1.0
scraped	1.0
consumer-owned	1.0
re-notify	1.0
ffob	1.0
outturns	1.0
dormancy	1.0
errors	0.811818125714
syphon	1.0
tiered	1.0
self-reliant	1.0
nature.	1.0
cooking	0.992273958005
air-to-sea	1.0
melanin	0.962967170096
opportunists	0.949248087007
local-option	1.0
warmongering	1.0
toolmaking	1.0
dicovered	1.0
aggression	1.0
outfielders	0.933646979723
store-brand	1.0
numeral	0.959878722021
pawed	1.0
hallucinating	1.0
succumb	1.0
shocks	0.952190626338
sation	1.0
epidemiology	1.0
crouch	0.929302759331
market-opening	0.98074500272
boil-water	1.0
jubilantly	1.0
zlotys	0.977375730611
mailings	0.971871530267
counter-culture	1.0
brainwashed	1.0
affiliates	0.887540771908
coal-driven	1.0
perfunctorily	1.0
china	0.869928681963
titles.	1.0
accredit	1.0
affiliated	0.873461416066
inverview	1.0
virtuoso	0.981627742395
confronts	0.987722916097
red-tape	1.0
chink	1.0
doldrums	0.925679513437
existentialist	0.944285752377
kids	0.892647185756
uplifting	1.0
non-transit	1.0
blowpipes	1.0
deferring	0.918293797982
grimacing	1.0
period-by-period	1.0
lagest	1.0
adulterous	1.0
lingo	1.0
six-hit	1.0
neurologist	0.967062122731
talbe	1.0
spotty	0.941561729204
climber	1.0
sharemarket	1.0
coalesces	1.0
millimetres	1.0
ganging	1.0
cobblers	1.0
topography	1.0
sub-tribe	1.0
projection	0.966714749115
lengthed	1.0
outraging	1.0
lengthen	0.932695112765
intent	0.871067031995
government-designated	1.0
invesment	1.0
provincial-level	1.0
spacewalks	1.0
stern	0.926384261679
high-wage	1.0
end-of-sittings	1.0
sensibilisation	1.0
disproportionately	0.979629071688
sternest	1.0
silverscreen	1.0
frosty	0.985242509883
sterness	1.0
encoutered	1.0
catchy	1.0
insecurity	1.0
outwit	1.0
cannibal	1.0
prospector	1.0
aerodynamicist	1.0
below-standard	1.0
refunding	0.923483842117
music	0.890515472446
therefore	0.883113333085
distortions	0.99021570781
reasserting	0.932609865112
caned	1.0
sermons	1.0
pinpoints	1.0
ex-rugby	1.0
rpondre	1.0
expecting	0.825419197859
populations	0.97414913015
two-all	1.0
anti-gun	1.0
crossbar	1.0
multi-channel	1.0
rearrangements	1.0
asset-type	1.0
meteorologist	1.0
milestones	0.858370082845
explusions	1.0
lead-based	1.0
categoric	1.0
exco	1.0
excl	1.0
schoolboys	0.961991298131
exhorbitant	1.0
exch	1.0
circumstances	0.862643684956
resently	1.0
co-marketing	1.0
enflamed	1.0
morally	0.961954061763
locked	0.872351103417
toxins	1.0
non-alignment	1.0
commentaire	1.0
well-supplied	1.0
edication	1.0
keloids	1.0
innoculate	1.0
repaid	0.900523019147
manuverability	1.0
locker	0.973819922314
intensifed	1.0
old-guard	1.0
under-financing	1.0
confining	1.0
radicalisation	1.0
bankiers	1.0
avaient	1.0
six-mile	0.979533887292
sectarianism	1.0
unreconstructed	1.0
pollutors	1.0
capsaicin	1.0
wand	1.0
pints	0.98949031842
unjust	0.964428489013
envirnomental	1.0
fluorite	1.0
optician	1.0
pooper	1.0
buy-now-pay-later	1.0
want	0.823185547908
cookers	1.0
rayon	0.992249215634
pinto	1.0
cross-sales	1.0
cookery	1.0
groggily	1.0
sub-indices	1.0
well-armed	1.0
wracked	0.994982605498
repricing	1.0
travel	0.875803847932
shirked	1.0
recently-departed	1.0
cutback	0.944866552144
sanatoriums	1.0
playback	0.919363964601
good-value	1.0
profiteered	1.0
nearly-completed	1.0
divergance	1.0
industrialised	1.0
prostitues	1.0
amricaine	1.0
non-reserved	1.0
twines	1.0
cyclone-devastated	1.0
names.	1.0
wheatear	1.0
uselessness	1.0
barbarians	1.0
assimilated	1.0
sugar-based	1.0
money-launderers	1.0
registries	1.0
dinosaurs	0.874571876502
modest	0.862353845432
lattice-work	1.0
millages	1.0
twined	1.0
sentencing	0.950790131073
off-label	1.0
ex-justice	1.0
military-based	1.0
assimilates	1.0
steadfast	0.994691248334
matter-of-fact	1.0
poiints	1.0
well-reasoned	1.0
occasions	0.971958525061
deficit-fighting	1.0
romped	1.0
long_term	1.0
sickening	1.0
tulip	0.983687902101
perpetrator	1.0
quiting	1.0
farmlands	1.0
nonsensical	1.0
point-of-sale	0.988375060441
lace-up	1.0
leisurely	0.914707284168
smashers	1.0
macroeconometric	1.0
snugly	1.0
once-a-week	1.0
medium-distance	1.0
effect.	1.0
roll-over	1.0
concurrence	0.973752755341
cerrado	1.0
whizzing	1.0
three-strain	1.0
partnered	1.0
bromantan	1.0
butcher	0.923860654648
beerhall	1.0
kneejerk	1.0
rewarded	0.995073190386
wherein	1.0
activating	1.0
abysses	1.0
genetically-engineered	1.0
welcomes	0.985859013439
fir	1.0
ex-dividend	0.958027257843
ready-to-use	1.0
wickedly	0.988204102006
up-trend	1.0
fit	0.901049697695
insureds	1.0
lifeline	1.0
screaming	0.957859805707
fix	0.956160476004
occupations	0.980152712401
pre-baking	1.0
discourse	0.987570646043
seamier	0.966023737331
fib	1.0
first-test	1.0
bulding	1.0
rehoused	1.0
fig	0.991783095686
bankrupty	1.0
tee-off	1.0
non-resort	1.0
fin	1.0
passageways	1.0
fim	1.0
canstock	1.0
lingustic	1.0
unpeg	1.0
perching	1.0
songwriter	1.0
municipality	0.982307650341
enamelled	1.0
short-listed	1.0
vouchers	0.974827536523
top-quality	0.952062927739
hypoxic	1.0
effectu	1.0
sodium	0.975565866291
effects	0.89459723439
counter-terrorists	1.0
fast-attack	1.0
multidimensional	1.0
sixteen	1.0
undeveloped	0.88961402451
dead-end	1.0
saddened	1.0
grueling	0.966936083655
customer-oriented	1.0
kleptocracy	1.0
partisan	0.892285928428
dungeon-like	1.0
miltary	1.0
whacking	1.0
castigating	0.956702580919
foregin	1.0
telekom	1.0
disconnection	1.0
blood-plasma	1.0
self-titled	1.0
