word	similarity
incoming	0.990737481134
outparcels	1.0
reallocations	1.0
heavily-fortified	1.0
best-organised	1.0
deferment	1.0
land-for-peace	1.0
waste-disposal	1.0
gag	1.0
woods	0.951056789319
exorcists	1.0
still-formidable	1.0
hanging	0.923382146284
ultimatley	1.0
woody	1.0
trawling	1.0
five-nation	1.0
comically	1.0
co-venture	0.998737711023
sevens	1.0
disobeying	1.0
waste-management	1.0
mutinied	1.0
spot-kicks	1.0
blast-off	1.0
susbsidies	1.0
theoreticals	1.0
originality	1.0
wrong-footed	1.0
mutinies	1.0
unnecessarily	1.0
storiesin	1.0
inflation-free	1.0
patriarchy	1.0
rumbustious	1.0
second-oldest	1.0
passsengers	1.0
well-conducted	1.0
wet-gas	1.0
slothful	1.0
co-operation	1.0
acoustic	1.0
discribed	1.0
stipulate	0.972312111439
pigment	1.0
trimester	0.960658493793
weather-driven	1.0
appropriation	1.0
price-change	1.0
transvestism	1.0
strictest	1.0
non-proportional	1.0
uncoordinated	1.0
task-specific	1.0
acclerating	1.0
elevates	1.0
wooded	1.0
liaisons	1.0
politicial	1.0
broiler	1.0
fous	1.0
wooden	0.973169240243
personal-finance	1.0
wednesday	0.858822804423
sabotaged	1.0
co-leadership	1.0
broiled	1.0
abatements	1.0
delaration	1.0
crotch	1.0
end-of-the-week	1.0
re-locating	1.0
stereotypical	0.954021244027
ultra-violet	1.0
south-west	1.0
festered	1.0
non-compete	1.0
guardsmen	1.0
non-violent	1.0
recourse	1.0
patinets	1.0
gaskets	1.0
lossmaking	1.0
grainy	1.0
adversely	0.93976477498
rgime	1.0
complainers	1.0
shorthaul	1.0
force-fed	1.0
signifiantly	1.0
feasibility	0.999761542689
miniatures	1.0
sooth	1.0
mixed-religion	1.0
seventh-day	1.0
sustaining	0.99023373534
consenting	0.969034354325
reengineering	1.0
periodontitis	1.0
scraped	1.0
consumer-owned	1.0
re-notify	1.0
ffob	1.0
outturns	1.0
dormancy	1.0
errors	0.915215417886
syphon	1.0
tiered	1.0
self-reliant	1.0
nature.	1.0
cooking	0.936163237808
air-to-sea	1.0
melanin	1.0
opportunists	1.0
local-option	1.0
warmongering	1.0
toolmaking	1.0
dicovered	1.0
aggression	1.0
outfielders	1.0
store-brand	1.0
numeral	1.0
pawed	1.0
hallucinating	1.0
succumb	1.0
shocks	0.988077475107
sation	1.0
epidemiology	1.0
crouch	1.0
market-opening	1.0
boil-water	1.0
jubilantly	1.0
zlotys	1.0
mailings	0.9930748488
counter-culture	1.0
brainwashed	1.0
affiliates	0.926468387295
coal-driven	1.0
perfunctorily	1.0
china	0.84544188339
titles.	1.0
accredit	1.0
affiliated	0.899137886948
inverview	1.0
virtuoso	1.0
confronts	1.0
red-tape	1.0
chink	1.0
doldrums	0.97020410078
existentialist	1.0
kids	0.90799039321
uplifting	1.0
non-transit	1.0
blowpipes	1.0
deferring	0.978366353993
grimacing	1.0
period-by-period	1.0
lagest	1.0
adulterous	1.0
lingo	1.0
six-hit	1.0
neurologist	1.0
talbe	1.0
spotty	0.980103638076
climber	1.0
sharemarket	1.0
coalesces	1.0
millimetres	1.0
ganging	1.0
cobblers	1.0
topography	1.0
sub-tribe	1.0
projection	0.948678201969
lengthed	1.0
outraging	1.0
lengthen	1.0
intent	0.985548374282
